,ACCESS-ESM1-5,BCC-CSM2-MR,CanESM5-CanOE,CanESM5,CESM2,CNRM-ESM2-1,EC-Earth3-CC,GFDL-ESM4,MIROC-ES2L,MPI-ESM1-2-LR,MRI-ESM2-0,NorESM2-LM,UKESM1-0-LL
1850.5,289.32394945648144,287.6096209824877,285.11510092346316,284.3062464732903,286.60638288448956,284.539369901548,284.64966491283843,281.98182862870954,284.8929510558246,282.03238114028085,288.1113084255444,283.13815308930026,285.48560502204697
1851.5,290.0475557507679,287.3358027621411,285.74523403806364,284.6482233547559,287.29451000988496,284.70514886792233,283.82608579244965,282.4467762571414,285.1985586027476,282.15703799312854,287.4873587249534,283.533835106891,285.61950919267525
1852.5,291.2671306672527,287.26428285428796,285.7860693396314,285.05441516333303,287.52622734866173,285.3280244312461,283.191224182428,282.97922439584096,285.5834924737592,282.5875539726995,286.8595355170597,283.8167840085079,286.32089689099456
1853.5,291.69426044834023,287.89204291203475,285.6762357336172,284.9176198158237,287.59511727375065,285.02214157793816,283.39729438631855,283.6438325118221,285.9668782916335,283.81849257638294,286.93090121078853,284.5913012601689,285.8930059760422
1854.5,290.6185960144214,287.9812523108671,285.11163784749056,284.58836116869827,287.78000469517815,284.72723403570916,286.1884752257025,283.4521486741714,286.0579266620636,284.61130483880214,287.85097061299183,285.03083642919734,285.4733652219599
1855.5,290.86353290796575,287.45927249097724,284.5730917191695,284.51674352403603,288.0866126158865,284.4691794934137,287.7756174336527,282.9917229408416,286.6632142454702,285.1007377590902,288.0837074140024,284.9784000845702,285.85457494033875
1856.5,291.1890129677405,287.50140291559654,284.87484583444956,284.37585862159443,288.4713280898204,284.02371280483385,287.2709790202083,283.83057143288295,287.140476619246,285.80588693349716,287.79191822967704,284.8810319596401,286.29082040230566
1857.5,291.1810499302653,287.18258796587446,285.3741595789595,284.28531050559604,288.2529181743072,284.01736982407516,287.23008285148643,283.7229770042259,287.3772602912663,286.1115629153889,288.4449034542843,284.99398658378703,286.2154491561887
1858.5,292.09478380222686,287.37160403882194,285.8912517679394,284.1054967816178,288.2660153116325,283.7802314342768,288.12081550139624,283.5813190041655,287.4525563671423,286.20174857738897,288.6125729687266,285.34296735527363,286.1949444828183
1859.5,292.39553986846585,288.9053890609114,286.1177779796768,284.5872345352611,288.5576049706391,284.13227120645683,288.5273680575612,284.1601561950435,287.4672800157174,286.25403771809954,288.22484176926065,285.67434565265506,286.1720546225578
1860.5,291.94241888213605,288.7835326125265,286.2884890817915,284.50986619671045,289.2081787428959,284.1374230392954,288.66221720941945,283.69761156246454,288.3387497897644,285.7586878734134,288.0104499491567,285.9965881103325,286.6199030509939
1861.5,292.05215828490674,288.35141436298477,286.54671267541136,284.68709379886724,289.4924573273235,284.1332299424111,288.1530183650492,282.70450955428225,288.75172543256775,285.72864831306845,288.20447925197834,286.17092795977817,286.59687975194277
1862.5,291.80332426379266,288.84381917576405,286.19959987042006,284.7419143499631,289.4184108419293,284.82079996700656,287.4153239821666,283.57752461835395,289.13621552819353,286.1801305640354,287.82827603054,286.70160669618707,286.27191010532056
1863.5,291.95026770508997,288.93220729489707,285.8886863649988,284.9091440727137,289.5155922928348,284.6785732076215,287.38638851155747,284.7573390607059,289.31764837875954,286.50844546580817,287.39649326260536,286.9100206899038,286.1262641859172
1864.5,292.56912657377217,289.9552333634004,285.6868622320326,285.23473460045506,289.9170903201601,284.4722647624421,288.71841508139664,285.3986399404251,289.525239567682,286.4130492695629,287.52981607459884,286.74240440382283,286.739321188708
